Lead 1,Lead 2,Lead 3,Lead 4,Lead 5,Lead 6,Lead 7,Lead 8,Lead 9,Lead 10,Lead 11,Lead 12,Lead 13,Lead 14,Lead 15,Lead 16,Lead 17,Lead 18,Lead 19,Lead 20,Lead 21,Lead 22,Lead 23,Lead 24,Lead 25,Lead 26,Lead 27,Lead 28,Lead 29,Lead 30,Lead 31,Lead 32,Lead 33,Lead 34,Lead 35,Lead 36,Lead 37,Lead 38,Lead 39,Lead 40,Lead 41,Lead 42,Lead 43,Lead 44,Lead 45,Lead 46,Lead 47,Lead 48,Lead 49,Lead 50,Lead 51,Lead 52,Lead 53,Lead 54,Lead 55,Lead 56,Lead 57,Lead 58,Lead 59,Lead 60,Lead 61,Lead 62,Lead 63,Lead 64,Lead 65,Lead 66,Lead 67,Lead 68
-9773.996094,-168767.25,-168224.25,393200.5,483607.25,102369.5,-280248,76408.25,412159.5,73553,235038,148731.5,359994,-192926,72231,29099.75,185186.25,159211,242332,129262.5,160697.25,42468,45185.5,-317205,134538,349613,320834.5,83591,98829.75,91122.75,207691.25,258793.25,-9866.746094,335788,-50287.49609,-168261.75,-55173.49609,187138,112881.75,54271.75,11582.5,160795.25,-42286.24609,32200.25,-70305.25,345758.75,172390,89364.25,132594.75,148802,95129.5,-124314.75,-156539.75,71384.5,950844,216135.5,5993.5,120696.5,163017,-3282.996094,-208885.25,36610,165887.75,-127346.5,-716321,-719714.5,-332291.75,-273509
-9950.996094,-168754.5,-168037.5,393191.25,483541.75,102321.5,-280203.25,76725.75,412031.5,73556,234997,148728.25,360026.75,-192747,72315.5,29246.25,185306.75,159259.25,242336,129297.5,160787.25,42655.75,45358.75,-316936,134755,349713,320944.5,83730,98890.25,91229.75,207768.25,258828.75,-10027.99609,336083.25,-50276.49609,-168171,-55222.24609,187097.75,112799,54067,11102.25,160779.5,-42279.74609,32144.5,-70405.75,345644.75,172365.25,89349,132578,148776,95081.75,-123967,-156044.5,71494,951038,216151.25,6052.25,120776.75,163210.75,-3120.746094,-209052.25,36795.5,166315.75,-127275.5,-715688,-718988,-331581.75,-272688.75
-10090.49609,-168889.75,-168162.75,392958,483300,102122.75,-280458.25,76673.75,411853.75,73348.75,234767.5,148512.5,359881,-192832.75,72107.75,29020,185264,159195,242177,129265.25,160708.5,42552,45306.75,-316923.25,134828.25,349757.25,320968.75,83936.5,99155.5,91200.25,207647.25,258626.25,-10273.74609,336128.75,-50408.24609,-168352,-55410.24609,186862,112497.25,53760.25,10704.75,160655,-42505.99609,31790,-70679.75,345403.75,172172.25,89146.75,132348.5,148563.75,94854.5,-123900.25,-155968.75,71413.5,951036,216034,6009.5,120773,163302.75,-2914.246094,-208561,37037.25,166273.25,-127082,-716523.25,-719596.25,-331913.75,-273369.25
-9941.496094,-168742.25,-168323.75,392815,483150.75,102060.25,-280582.5,76546.5,411828.75,73161.5,234695.25,148438,359794.25,-192943.25,72112.75,28932,185232.75,159149.5,242165.5,129298,160692.25,42513,45293.5,-316890.5,134857.25,349790.75,320967.25,83789.75,99041.25,91184.25,207672.25,258614.5,-10331.24609,336226.5,-50427.99609,-168442.25,-55520.49609,186775.5,112386.25,53700,10622.5,160709,-42485.74609,31928,-70692.75,345389,172051.5,89061.25,132312,148582.25,94868.25,-123643.75,-156169.25,71497.25,951004,216041.25,6080,120872.75,163467.25,-2749.996094,-208969,37271,166036.75,-127041,-716171.5,-719183.25,-332185.75,-273232.25
-10098.99609,-168829,-168639.5,392680.25,483144.75,101929.75,-280613.75,76335,411692,73097.75,234542.75,148355,359715.25,-193148,72350.25,29144.25,185277.75,159076,242104,129294.5,160701,42602.5,45400.25,-317103,134945.25,349899.75,321121.75,83672.25,98941,91149.25,207655.25,258521.75,-10453.74609,336081.75,-50616.49609,-168499.25,-55692.99609,186648.75,112286.75,53548.75,10681.5,160539.75,-42747.24609,31750.75,-70897.5,345202,171902.75,88930,132186.25,148442,94762,-123741.5,-156372.5,71431.25,950816.5,215977.5,6037,120901.25,163518.25,-2570.496094,-209544.5,37399.75,165608.5,-127011.5,-715402.25,-719087,-332017,-273224
-10152.74609,-168756.5,-168617.5,392528,482851.25,101654,-280714.5,76073,411498.25,72945.75,234397,148305,359578.5,-193164.75,71847.5,29208.75,185219.25,159017.25,242063.75,129309.75,160705.75,42675,45422.25,-317053.5,135074.75,349982,321226.75,83753.5,99003.75,91216,207640,258461,-10373.99609,336227,-50616.49609,-168447.25,-55754.49609,186531.25,112171.25,53394.25,11004.75,160437.5,-42602.24609,31726,-70921.5,345045,171808.25,88809.25,132049.75,148343.5,94718.25,-124208.5,-156280.25,71428.5,950716.25,215927.75,6075.75,121001,163603.75,-2601.996094,-210260,37658,165363.5,-126692,-716178.75,-719767.5,-331903.5,-273280.25
-10023.49609,-168624,-168638,392418.5,482660,101527,-280665.25,75914,411420.25,72818,234303.25,148183.5,359428.75,-193319.25,71690.5,29173.75,185007.5,158923.25,241915.75,129240,160617.5,42638,45406.25,-316939.75,135081.5,350042.25,321272.25,84028,99243,91152.25,207627.25,258368.75,-10301.49609,336015,-50703.99609,-168711,-55852.49609,186376,112087.25,53312,11081.25,160384,-42623.74609,31630.25,-71088,344978,171697,88706,131977.75,148233.5,94574.25,-124566.5,-156484.75,71351.5,950584.5,215857.75,6067.75,121056,163723.5,-2320.496094,-209496,38089.75,165542.75,-126414,-716787,-719901.75,-332137.75,-273190.25
-9910.996094,-168513.25,-168593,392420.75,482624.25,101573.5,-280518.75,75818.75,411291,72734.25,234273.25,148142.5,359365.25,-193417.75,71735.75,29021.5,184974.75,158841.75,241829.25,129288.5,160674,42599.5,45352,-316875.5,135023.75,350004,321185.5,84168.5,99377,91170.25,207685.5,258385,-10255.49609,336029,-50674.99609,-169126.25,-55770.99609,186355,112118.5,53353.75,11451.25,160783.25,-42543.74609,31696.25,-71030.75,344986.5,171734.75,88685.75,132026.75,148363.5,94724.5,-124582.75,-155899.75,71470.25,950636.75,215923.75,6130.25,121285.5,164026.5,-2038.746094,-208185.5,38637.25,166075,-125968.5,-716257,-719408.75,-331927.5,-273065.5
-9907.496094,-168674.5,-168721,392285.75,482508.5,101497.25,-280542.5,75833.75,411213.5,72630.25,234169,148086,359312.5,-193497.5,71865.75,29069.75,184926.25,158814.5,241875.75,129250,160661.75,42594,45365.25,-316847.25,134986.25,350017.75,321280,83926.75,99143.75,91186.25,207699.75,258307,-10404.74609,335987,-50860.49609,-169215,-55771.74609,186316.75,112045,53284,11410.25,160632.75,-42544.74609,31895.75,-71065.25,344869.5,171621.75,88593,132033,148347.5,94807.25,-124534.75,-155469.5,71538.5,950787.75,215918.5,6135.75,121388.25,164160,-1957.496094,-207957.5,38819.5,166551.25,-125859.5,-716529.25,-719536.5,-331281,-272792.5
-9727.996094,-168851.5,-168993.25,392220.5,482488.5,101524.5,-280770.75,75821.25,411328.5,72651.75,234157.25,148060.25,359287.5,-193467.25,71971.5,29235.25,185033,158825,241900.75,129240.25,160714,42660,45458.25,-316835.75,135099.25,350050,321280,83794.25,99005.5,91184.75,207610.5,258269.5,-10448.49609,335943.75,-50934.99609,-169130.75,-55819.74609,186266.25,111966.75,53318,11324.5,160538.25,-42789.49609,31682.5,-71081.25,344909.75,171573.75,88563.75,131976.5,148268,94840.75,-124571.75,-155627.5,71630.5,950899,215844.25,6115,121338,164175.5,-2057.246094,-207734.75,38820.75,167052.25,-125985.5,-715343.5,-718963.5,-331246.5,-272550
